bps_nama_kabupaten_kota,total_petani_perempuan,jumlah_desa,rata_rata_petani
KABUPATEN BANDUNG,205407,1620,126.79444444444445
KABUPATEN BANDUNG BARAT,174378,990,176.13939393939393
KABUPATEN BEKASI,124898,1078,115.860853432282
KABUPATEN BOGOR,238640,2496,95.60897435897436
KABUPATEN CIAMIS,277856,1548,179.4935400516796
KABUPATEN CIANJUR,353056,2124,166.22222222222223
KABUPATEN CIREBON,238739,2472,96.57726537216828
KABUPATEN GARUT,404466,2526,160.12114014251782
KABUPATEN INDRAMAYU,410384,1854,221.35059331175836
KABUPATEN KARAWANG,184540,1782,103.55780022446689
KABUPATEN KUNINGAN,221329,2166,102.18328716528163
KABUPATEN MAJALENGKA,234370,1980,118.36868686868686
KABUPATEN PANGANDARAN,134606,558,241.2293906810036
KABUPATEN PURWAKARTA,101533,1098,92.47085610200364
KABUPATEN SUBANG,244124,1470,166.07074829931972
KABUPATEN SUKABUMI,382397,2286,167.27777777777777
KABUPATEN SUMEDANG,138142,1620,85.27283950617284
KABUPATEN TASIKMALAYA,472038,2106,224.13960113960113
KOTA BANJAR,11179,96,116.44791666666667
